,word,counts
0,影音,135
1,情報,188
2,1.0,1
3,李彩演,3
4,金,4
5,湯匙,3
6,人氣,8
7,歌謠,8
8,洧彬,1
9,點閱,5
10,排行,5
11,2022,6
12,鄭弘壹,1
13,漫畫,1
14,世界,3
15,1,11
16,-,15
17,Chuu,1
18,本,2
19,月,4
20,少女,4
21,音樂,8
22,中心,8
23,I-DLE,1
24,Stage,1
25,大學,1
26,慶典,1
27,接力,3
28,舞蹈,4
29,五月,1
30,五日,1
31,昌原,1
32,K-Pop,1
33,K-Culture,1
34,DK,1
35,When,1
36,Will,1
37,高斯,2
38,電子,2
39,公司,2
40,金鐘,1
41,萬,1
42,問題,2
43,節目單,16
44,人生,1
45,出道秀,1
46,巨星,1
47,誕生,1
48,Dear,1
49,Name,1
50,專輯,5
51,月榜,1
52,2022年,1
53,9月,1
54,榜,3
55,2022.09.25,3
56,2022.10.01,3
57,波濤,1
58,週榜,16
59,數位,4
60,迷你,21
61,七,4
62,輯,31
63,預告,9
64,KQ,1
65,真,1
66,劍,1
67,勝負,1
68,秀智,1
69,老虎,1
70,追來,1
71,節目,4
72,單,4
73,白夜,1
74,完,1
75,故事,1
76,金娜英,2
77,水,2
78,火,2
79,木,2
80,土,2
81,J.Y.,1
82,Park,1
83,率智,1
84,10/11,1
85,發表,1
86,新歌,1
87,相信,1
88,愛情,1
89,單曲,6
90,一,7
91,回歸,13
92,AB6IX,1
93,Sugarcoat,1
94,時間,1
95,停下,1
96,加長型,4
97,禮車,4
98,服務,4
99,鮮,1
100,于貞娥,1
101,某,1
102,天,2
103,7,1
104,3,1
105,預告集,3
106,中,3
107,2022-09,4
108,2022.09.26,1
109,日本,2
110,正規,5
111,10/5,1
112,集中,4
113,相愛,5
114,預告集中,1
115,練習室,1
116,其他,1
117,時代,1
118,空專,1
119,贈送,1
120,近期,1
121,音樂節,1
122,公演,1
123,09.25,1
124,10.01,1
125,小女子,1
126,舞台,6
127,睡衣版,1
128,制服版,1
129,假面,1
130,舞會,1
131,未來,1
132,少年,1
133,李正權,1
134,想要,1
135,觸碰,1
136,你,4
137,一瞬間,1
138,沒有,1
139,餘裕,1
140,來,1
141,空氣,1
142,男,1
143,夢兆,1
144,千,1
145,元,1
146,律師,1
147,.1,1
148,閔庚勳,1
149,鮮于貞娥,1
150,black,1
151,禹元才,2
152,換乘,3
153,戀愛,3
154,2,4
155,OST,3
156,Part.4,1
157,Part.3,1
158,首爾,1
159,國際,1
160,電視節,1
161,表演,5
162,姜珉炅,2
163,崔政勳,2
164,我們,2
165,新聞,1
166,演員,1
167,李彩玟,1
168,擔任,1
169,新,4
170,JUN,1
171,LIMBO,1
172,Official,1
173,雨琦,1
174,2022.09.11,1
175,2022.09.17,3
176,2022.09.11~,2
177,娛樂,1
178,女團,4
179,TEMPEST,1
180,Young,1
181,11,1
182,ㄧ,1
183,說出,3
184,願望,3
185,太妍,1
186,Rush,1
187,獨角獸,2
188,產賀,1
189,影片,1
190,I.N,1
191,安慰,1
192,出道,2
193,ITZY,1
194,Blah,1
195,白虎,1
196,220624-26,1
197,第二,3
198,個,3
199,輪,2
200,競演,2
201,片段,2
202,雙關語,1
203,精神,3
204,教練,3
205,諸葛吉,3
206,夏賢尚,1
207,雪娥,1
208,宇宙,1
209,二十五,1
210,二十一,1
211,想,1
212,問,1
213,權恩妃,1
214,三,3
215,2022.09.12,1
216,二,3
217,NCT,2
218,127,2
219,疾馳,3
220,09.17,1
221,閒聊,1
222,歌,1
223,結尾,1
224,O.WHEN,1
225,better,1
226,青春,1
227,鍾浩,1
228,權珍雅,1
229,基賢,1
230,唯一,1
231,朴顯奎,1
232,今天,1
233,一樣,1
234,夜晚,1
235,朴志訓,1
236,Part.5,1
237,李海仁,1
238,2022.09.18,3
239,2022.09.24,3
240,CRAVITY,1
241,PARTY,1
242,ROCK,1
243,讓,1
244,我,2
245,完成,1
246,做,1
247,到,1
248,事,1
249,做到,1
250,說,1
251,算了,1
252,徐仁國,1
253,金榮澈,1
254,首,1
255,張,1
256,五,1
257,概念,1
258,2022.09.04,1
259,2022.09.10,2
260,2022.09.04~,1
261,秀英,1
262,秋天,1
263,李俊炯,1
264,1.1700,1
265,尹尚,1
266,鄭東元,1
267,朴池原,1
268,第18,1
269,組,1
270,陣容,1
271,先行曲,2
272,10/14,1
273,4,1
274,10/25,1
275,四,1
276,李昌燮,1
277,偶然,2
278,田園,2
279,日記,2
280,李承允,1
281,安炳雄,1
282,趙廣一,1
283,耀眼,1
284,有情,2
285,第一,1
286,5,1
287,黃旼炫,2
288,柔理,1
289,2022.09.19,1
290,完整版,1
291,09.24,1
292,稱,1
293,之為,1
294,愛,1
295,10,1
296,01,1
297,崔叡娜,1
298,28,1
299,2022.09.05,1
300,出演,1
301,者,1
302,合集,1
303,酒,1
304,算,1
305,什麼,1
306,09.10,1
307,燒傷,1
308,輝映,1
309,公開,1
310,第八,1
311,位,1
312,成員,1
